ErrorID,ErrorType,Location,Date,Time,Solution
E2025,Jammed Component,Conveyor Belt Section C,2025-01-04,21:33:57,Cleared obstruction
E2026,Overload Detected,Motor Section,2025-01-04,08:47:41,Reduced machine load
E2027,Overheating,Motor Section,2025-01-05,16:27:20,"Cooled fan, checked lubrication"
E2028,Alignment Issue,Conveyor Belt Section A,2025-01-05,18:03:11,Re-aligned conveyor belt
E2029,High Temperature,Cooling System,2025-01-01,23:32:06,Refilled coolant
E2030,Jammed Component,Conveyor Belt Section C,2025-01-04,10:34:35,Cleared obstruction
E2031,Overload Detected,Motor Section,2025-01-02,21:07:50,Reduced machine load
E2032,Sensor Failure,Temperature Sensor T1,2025-01-04,07:35:29,Replaced faulty sensor
E2033,Voltage Fluctuation,Control Panel,2025-01-05,01:47:24,Stabilized power input
E2034,High Temperature,Cooling System,2025-01-05,18:25:12,Refilled coolant
E2035,Low Pressure,Hydraulic Pump,2025-01-02,20:54:42,Adjusted pressure valve
E2036,Jammed Component,Conveyor Belt Section C,2025-01-01,10:33:37,Cleared obstruction
E2037,Sensor Failure,Temperature Sensor T1,2025-01-04,08:06:17,Replaced faulty sensor
E2038,Overload Detected,Motor Section,2025-01-02,10:59:14,Reduced machine load
E2039,Overheating,Motor Section,2025-01-03,21:39:44,"Cooled fan, checked lubrication"
E2040,Sensor Failure,Temperature Sensor T1,2025-01-01,09:18:29,Replaced faulty sensor
E2041,Oil Leakage,Gear Box,2025-01-04,09:18:58,Replaced oil seal
E2042,Alignment Issue,Conveyor Belt Section A,2025-01-03,05:43:13,Re-aligned conveyor belt
E2043,Oil Leakage,Gear Box,2025-01-02,11:58:11,Replaced oil seal
E2044,Voltage Fluctuation,Control Panel,2025-01-05,11:40:40,Stabilized power input
E2045,Communication Error,PLC Controller,2025-01-03,02:03:11,"Reset PLC, updated firmware"
E2046,Overload Detected,Motor Section,2025-01-01,10:37:13,Reduced machine load
E2047,Sensor Failure,Temperature Sensor T1,2025-01-03,10:55:59,Replaced faulty sensor
E2048,Overheating,Motor Section,2025-01-03,13:00:18,"Cooled fan, checked lubrication"
E2049,Low Pressure,Hydraulic Pump,2025-01-04,18:09:09,Adjusted pressure valve
E2050,Alignment Issue,Conveyor Belt Section A,2025-01-03,16:32:25,Re-aligned conveyor belt
E2051,Communication Error,PLC Controller,2025-01-04,18:33:53,"Reset PLC, updated firmware"
E2052,High Temperature,Cooling System,2025-01-01,11:40:39,Refilled coolant
E2053,Communication Error,PLC Controller,2025-01-03,11:50:52,"Reset PLC, updated firmware"
E2054,High Temperature,Cooling System,2025-01-02,19:30:43,Refilled coolant
E2055,Alignment Issue,Conveyor Belt Section A,2025-01-03,20:12:27,Re-aligned conveyor belt
E2056,Low Pressure,Hydraulic Pump,2025-01-04,18:55:39,Adjusted pressure valve
E2057,Overheating,Motor Section,2025-01-03,12:28:10,"Cooled fan, checked lubrication"
E2058,Low Pressure,Hydraulic Pump,2025-01-03,03:34:17,Adjusted pressure valve
E2059,Overload Detected,Motor Section,2025-01-02,03:03:12,Reduced machine load
E2060,Alignment Issue,Conveyor Belt Section A,2025-01-02,09:04:42,Re-aligned conveyor belt
E2061,Alignment Issue,Conveyor Belt Section A,2025-01-03,22:36:39,Re-aligned conveyor belt
E2062,Overheating,Motor Section,2025-01-02,11:41:25,"Cooled fan, checked lubrication"
E2063,Low Pressure,Hydraulic Pump,2025-01-04,19:54:35,Adjusted pressure valve
E2064,Overheating,Motor Section,2025-01-03,00:41:02,"Cooled fan, checked lubrication"
E2065,Oil Leakage,Gear Box,2025-01-04,01:47:14,Replaced oil seal
E2066,High Temperature,Cooling System,2025-01-03,01:49:05,Refilled coolant
E2067,Overheating,Motor Section,2025-01-04,14:31:51,"Cooled fan, checked lubrication"
E2068,Jammed Component,Conveyor Belt Section C,2025-01-04,05:22:29,Cleared obstruction
E2069,Low Pressure,Hydraulic Pump,2025-01-04,17:36:14,Adjusted pressure valve
E2070,Voltage Fluctuation,Control Panel,2025-01-01,23:46:25,Stabilized power input
E2071,Jammed Component,Conveyor Belt Section C,2025-01-03,19:50:52,Cleared obstruction
E2072,Low Pressure,Hydraulic Pump,2025-01-02,15:10:34,Adjusted pressure valve
E2073,Jammed Component,Conveyor Belt Section C,2025-01-04,07:24:38,Cleared obstruction
E2074,Overload Detected,Motor Section,2025-01-04,00:56:23,Reduced machine load
E2075,Jammed Component,Conveyor Belt Section C,2025-01-05,05:36:42,Cleared obstruction
E2076,Oil Leakage,Gear Box,2025-01-04,01:28:49,Replaced oil seal
E2077,Voltage Fluctuation,Control Panel,2025-01-04,21:05:45,Stabilized power input
E2078,Communication Error,PLC Controller,2025-01-01,08:07:41,"Reset PLC, updated firmware"
E2079,Low Pressure,Hydraulic Pump,2025-01-02,10:10:35,Adjusted pressure valve
E2080,Voltage Fluctuation,Control Panel,2025-01-02,07:46:26,Stabilized power input
E2081,Communication Error,PLC Controller,2025-01-04,20:17:23,"Reset PLC, updated firmware"
E2082,Overload Detected,Motor Section,2025-01-01,23:41:18,Reduced machine load
E2083,Alignment Issue,Conveyor Belt Section A,2025-01-04,05:44:43,Re-aligned conveyor belt
E2084,High Temperature,Cooling System,2025-01-03,03:48:36,Refilled coolant
E2085,Sensor Failure,Temperature Sensor T1,2025-01-02,03:58:22,Replaced faulty sensor
E2086,Low Pressure,Hydraulic Pump,2025-01-02,23:57:33,Adjusted pressure valve
E2087,High Temperature,Cooling System,2025-01-01,10:03:02,Refilled coolant
E2088,Sensor Failure,Temperature Sensor T1,2025-01-03,08:15:25,Replaced faulty sensor
E2089,Communication Error,PLC Controller,2025-01-05,19:35:54,"Reset PLC, updated firmware"
E2090,Low Pressure,Hydraulic Pump,2025-01-05,01:41:13,Adjusted pressure valve
E2091,Overload Detected,Motor Section,2025-01-04,11:30:57,Reduced machine load
E2092,Low Pressure,Hydraulic Pump,2025-01-01,10:24:12,Adjusted pressure valve
E2093,Overload Detected,Motor Section,2025-01-01,17:25:49,Reduced machine load
E2094,Alignment Issue,Conveyor Belt Section A,2025-01-02,07:30:13,Re-aligned conveyor belt
E2095,Sensor Failure,Temperature Sensor T1,2025-01-04,20:18:12,Replaced faulty sensor
E2096,Overload Detected,Motor Section,2025-01-05,00:06:53,Reduced machine load
E2097,Oil Leakage,Gear Box,2025-01-02,00:12:01,Replaced oil seal
E2098,Alignment Issue,Conveyor Belt Section A,2025-01-03,16:46:19,Re-aligned conveyor belt
E2099,Overload Detected,Motor Section,2025-01-01,13:57:10,Reduced machine load
E2100,Alignment Issue,Conveyor Belt Section A,2025-01-04,05:45:08,Re-aligned conveyor belt
E2101,Overload Detected,Motor Section,2025-01-05,12:16:18,Reduced machine load
E2102,High Temperature,Cooling System,2025-01-04,10:43:59,Refilled coolant
E2103,Alignment Issue,Conveyor Belt Section A,2025-01-01,12:36:54,Re-aligned conveyor belt
E2104,Alignment Issue,Conveyor Belt Section A,2025-01-04,06:42:21,Re-aligned conveyor belt
E2105,Overload Detected,Motor Section,2025-01-01,18:12:29,Reduced machine load
E2106,Oil Leakage,Gear Box,2025-01-03,16:20:40,Replaced oil seal
E2107,Alignment Issue,Conveyor Belt Section A,2025-01-03,07:49:47,Re-aligned conveyor belt
E2108,Alignment Issue,Conveyor Belt Section A,2025-01-04,14:49:18,Re-aligned conveyor belt
E2109,Alignment Issue,Conveyor Belt Section A,2025-01-05,09:57:33,Re-aligned conveyor belt
E2110,Sensor Failure,Temperature Sensor T1,2025-01-05,00:04:30,Replaced faulty sensor
E2111,Overheating,Motor Section,2025-01-04,14:15:52,"Cooled fan, checked lubrication"
E2112,Voltage Fluctuation,Control Panel,2025-01-03,20:32:20,Stabilized power input
E2113,Jammed Component,Conveyor Belt Section C,2025-01-02,18:12:50,Cleared obstruction
E2114,Communication Error,PLC Controller,2025-01-02,13:04:54,"Reset PLC, updated firmware"
E2115,Voltage Fluctuation,Control Panel,2025-01-04,20:03:53,Stabilized power input
E2116,Alignment Issue,Conveyor Belt Section A,2025-01-04,18:21:18,Re-aligned conveyor belt
E2117,Overheating,Motor Section,2025-01-03,03:25:46,"Cooled fan, checked lubrication"
E2118,Sensor Failure,Temperature Sensor T1,2025-01-02,16:06:03,Replaced faulty sensor
E2119,High Temperature,Cooling System,2025-01-01,16:19:47,Refilled coolant
E2120,Overload Detected,Motor Section,2025-01-02,20:57:33,Reduced machine load
E2121,Communication Error,PLC Controller,2025-01-04,06:19:16,"Reset PLC, updated firmware"
E2122,Jammed Component,Conveyor Belt Section C,2025-01-04,10:25:07,Cleared obstruction
E2123,Oil Leakage,Gear Box,2025-01-02,15:43:51,Replaced oil seal
E2124,Low Pressure,Hydraulic Pump,2025-01-03,00:32:19,Adjusted pressure valve
E2125,Low Pressure,Hydraulic Pump,2025-01-05,14:22:34,Adjusted pressure valve
E2126,Voltage Fluctuation,Control Panel,2025-01-04,02:00:48,Stabilized power input
E2127,Voltage Fluctuation,Control Panel,2025-01-01,19:51:17,Stabilized power input
E2128,Overload Detected,Motor Section,2025-01-01,15:04:04,Reduced machine load
E2129,Overload Detected,Motor Section,2025-01-02,05:41:47,Reduced machine load
E2130,Jammed Component,Conveyor Belt Section C,2025-01-03,02:11:55,Cleared obstruction
E2131,High Temperature,Cooling System,2025-01-04,07:54:29,Refilled coolant
E2132,Alignment Issue,Conveyor Belt Section A,2025-01-04,08:24:50,Re-aligned conveyor belt
E2133,Overload Detected,Motor Section,2025-01-03,11:57:17,Reduced machine load
E2134,Sensor Failure,Temperature Sensor T1,2025-01-03,03:04:44,Replaced faulty sensor
E2135,Communication Error,PLC Controller,2025-01-04,16:25:47,"Reset PLC, updated firmware"
E2136,Low Pressure,Hydraulic Pump,2025-01-04,16:33:52,Adjusted pressure valve
E2137,Voltage Fluctuation,Control Panel,2025-01-05,06:07:45,Stabilized power input
E2138,Jammed Component,Conveyor Belt Section C,2025-01-05,10:06:38,Cleared obstruction
E2139,Oil Leakage,Gear Box,2025-01-05,05:01:33,Replaced oil seal
E2140,Communication Error,PLC Controller,2025-01-03,20:22:44,"Reset PLC, updated firmware"
E2141,Alignment Issue,Conveyor Belt Section A,2025-01-03,09:11:18,Re-aligned conveyor belt
E2142,Jammed Component,Conveyor Belt Section C,2025-01-05,22:23:16,Cleared obstruction
E2143,Alignment Issue,Conveyor Belt Section A,2025-01-04,10:36:45,Re-aligned conveyor belt
E2144,Oil Leakage,Gear Box,2025-01-01,17:37:26,Replaced oil seal
E2145,Communication Error,PLC Controller,2025-01-04,05:55:15,"Reset PLC, updated firmware"
E2146,Overload Detected,Motor Section,2025-01-01,12:30:36,Reduced machine load
E2147,High Temperature,Cooling System,2025-01-02,19:09:25,Refilled coolant
E2148,Voltage Fluctuation,Control Panel,2025-01-02,20:33:24,Stabilized power input
E2149,Oil Leakage,Gear Box,2025-01-01,09:28:29,Replaced oil seal
E2150,Alignment Issue,Conveyor Belt Section A,2025-01-05,03:21:00,Re-aligned conveyor belt
E2151,Jammed Component,Conveyor Belt Section C,2025-01-03,22:21:59,Cleared obstruction
E2152,Low Pressure,Hydraulic Pump,2025-01-02,18:59:21,Adjusted pressure valve
E2153,Sensor Failure,Temperature Sensor T1,2025-01-05,10:21:32,Replaced faulty sensor
E2154,Overload Detected,Motor Section,2025-01-03,06:28:21,Reduced machine load
E2155,Alignment Issue,Conveyor Belt Section A,2025-01-05,00:55:24,Re-aligned conveyor belt
E2156,Overheating,Motor Section,2025-01-02,10:38:53,"Cooled fan, checked lubrication"
E2157,Oil Leakage,Gear Box,2025-01-04,14:52:48,Replaced oil seal
E2158,Sensor Failure,Temperature Sensor T1,2025-01-04,15:09:59,Replaced faulty sensor
E2159,Communication Error,PLC Controller,2025-01-02,04:26:51,"Reset PLC, updated firmware"
E2160,Overheating,Motor Section,2025-01-04,15:59:37,"Cooled fan, checked lubrication"
E2161,Low Pressure,Hydraulic Pump,2025-01-02,15:59:52,Adjusted pressure valve
E2162,Alignment Issue,Conveyor Belt Section A,2025-01-05,12:37:42,Re-aligned conveyor belt
E2163,Voltage Fluctuation,Control Panel,2025-01-01,18:28:10,Stabilized power input
E2164,Jammed Component,Conveyor Belt Section C,2025-01-02,16:36:54,Cleared obstruction
E2165,Overload Detected,Motor Section,2025-01-04,08:09:52,Reduced machine load
E2166,Communication Error,PLC Controller,2025-01-04,05:03:16,"Reset PLC, updated firmware"
E2167,Jammed Component,Conveyor Belt Section C,2025-01-04,21:27:07,Cleared obstruction
E2168,Overload Detected,Motor Section,2025-01-02,07:38:02,Reduced machine load
E2169,Oil Leakage,Gear Box,2025-01-04,12:32:30,Replaced oil seal
E2170,Alignment Issue,Conveyor Belt Section A,2025-01-03,12:17:32,Re-aligned conveyor belt
E2171,Alignment Issue,Conveyor Belt Section A,2025-01-05,04:16:06,Re-aligned conveyor belt
E2172,Voltage Fluctuation,Control Panel,2025-01-04,05:24:05,Stabilized power input
E2173,Overheating,Motor Section,2025-01-02,07:41:43,"Cooled fan, checked lubrication"
E2174,Jammed Component,Conveyor Belt Section C,2025-01-04,04:38:40,Cleared obstruction
E2175,High Temperature,Cooling System,2025-01-03,15:27:26,Refilled coolant
E2176,Sensor Failure,Temperature Sensor T1,2025-01-02,17:35:23,Replaced faulty sensor
E2177,Jammed Component,Conveyor Belt Section C,2025-01-02,12:35:08,Cleared obstruction
E2178,High Temperature,Cooling System,2025-01-05,07:53:48,Refilled coolant
E2179,High Temperature,Cooling System,2025-01-03,23:21:23,Refilled coolant
E2180,Communication Error,PLC Controller,2025-01-03,14:11:37,"Reset PLC, updated firmware"
E2181,Communication Error,PLC Controller,2025-01-03,13:59:56,"Reset PLC, updated firmware"
E2182,Jammed Component,Conveyor Belt Section C,2025-01-02,05:58:37,Cleared obstruction
E2183,Overheating,Motor Section,2025-01-05,05:27:48,"Cooled fan, checked lubrication"
E2184,Low Pressure,Hydraulic Pump,2025-01-02,13:59:01,Adjusted pressure valve
E2185,Voltage Fluctuation,Control Panel,2025-01-02,21:33:14,Stabilized power input
E2186,Sensor Failure,Temperature Sensor T1,2025-01-05,14:30:11,Replaced faulty sensor
E2187,Communication Error,PLC Controller,2025-01-02,10:20:08,"Reset PLC, updated firmware"
E2188,Voltage Fluctuation,Control Panel,2025-01-02,17:59:05,Stabilized power input
E2189,Jammed Component,Conveyor Belt Section C,2025-01-03,01:27:54,Cleared obstruction
E2190,Overload Detected,Motor Section,2025-01-05,04:30:12,Reduced machine load
E2191,Overheating,Motor Section,2025-01-01,23:48:42,"Cooled fan, checked lubrication"
E2192,Oil Leakage,Gear Box,2025-01-04,22:08:16,Replaced oil seal
E2193,Voltage Fluctuation,Control Panel,2025-01-04,21:05:42,Stabilized power input
E2194,Sensor Failure,Temperature Sensor T1,2025-01-01,21:02:19,Replaced faulty sensor
E2195,High Temperature,Cooling System,2025-01-02,23:03:35,Refilled coolant
E2196,Low Pressure,Hydraulic Pump,2025-01-01,13:54:45,Adjusted pressure valve
E2197,Overheating,Motor Section,2025-01-02,23:52:47,"Cooled fan, checked lubrication"
E2198,Sensor Failure,Temperature Sensor T1,2025-01-02,13:48:57,Replaced faulty sensor
E2199,Communication Error,PLC Controller,2025-01-03,14:02:06,"Reset PLC, updated firmware"
E2200,High Temperature,Cooling System,2025-01-02,13:45:13,Refilled coolant
E2201,Oil Leakage,Gear Box,2025-01-04,22:54:39,Replaced oil seal
E2202,Alignment Issue,Conveyor Belt Section A,2025-01-02,21:36:25,Re-aligned conveyor belt
E2203,High Temperature,Cooling System,2025-01-02,17:26:59,Refilled coolant
E2204,Jammed Component,Conveyor Belt Section C,2025-01-03,15:56:34,Cleared obstruction
E2205,Communication Error,PLC Controller,2025-01-01,21:15:26,"Reset PLC, updated firmware"
E2206,Sensor Failure,Temperature Sensor T1,2025-01-02,18:22:46,Replaced faulty sensor
E2207,Overload Detected,Motor Section,2025-01-04,12:17:58,Reduced machine load
E2208,Communication Error,PLC Controller,2025-01-03,19:59:18,"Reset PLC, updated firmware"
E2209,Communication Error,PLC Controller,2025-01-01,23:41:23,"Reset PLC, updated firmware"
E2210,Overheating,Motor Section,2025-01-05,18:16:57,"Cooled fan, checked lubrication"
E2211,Oil Leakage,Gear Box,2025-01-04,11:50:46,Replaced oil seal
E2212,Communication Error,PLC Controller,2025-01-01,09:07:47,"Reset PLC, updated firmware"
E2213,Communication Error,PLC Controller,2025-01-05,03:28:31,"Reset PLC, updated firmware"
E2214,Overload Detected,Motor Section,2025-01-02,01:36:25,Reduced machine load
E2215,Communication Error,PLC Controller,2025-01-03,20:15:51,"Reset PLC, updated firmware"
E2216,Alignment Issue,Conveyor Belt Section A,2025-01-04,17:44:32,Re-aligned conveyor belt
E2217,Overheating,Motor Section,2025-01-04,20:30:33,"Cooled fan, checked lubrication"
E2218,Overload Detected,Motor Section,2025-01-05,12:57:26,Reduced machine load
E2219,Oil Leakage,Gear Box,2025-01-04,08:51:21,Replaced oil seal
E2220,Jammed Component,Conveyor Belt Section C,2025-01-04,10:56:04,Cleared obstruction
E2221,Communication Error,PLC Controller,2025-01-03,02:51:06,"Reset PLC, updated firmware"
E2222,Voltage Fluctuation,Control Panel,2025-01-03,14:42:24,Stabilized power input
E2223,Sensor Failure,Temperature Sensor T1,2025-01-03,11:52:00,Replaced faulty sensor
E2224,Low Pressure,Hydraulic Pump,2025-01-05,17:08:15,Adjusted pressure valve
E2225,Overheating,Motor Section,2025-01-05,03:39:02,"Cooled fan, checked lubrication"
E2226,Communication Error,PLC Controller,2025-01-03,01:09:24,"Reset PLC, updated firmware"
E2227,Communication Error,PLC Controller,2025-01-01,10:20:30,"Reset PLC, updated firmware"
E2228,Overload Detected,Motor Section,2025-01-02,07:27:17,Reduced machine load
E2229,Communication Error,PLC Controller,2025-01-03,14:32:14,"Reset PLC, updated firmware"
E2230,Oil Leakage,Gear Box,2025-01-02,10:17:09,Replaced oil seal
E2231,Communication Error,PLC Controller,2025-01-03,06:25:48,"Reset PLC, updated firmware"
E2232,Jammed Component,Conveyor Belt Section C,2025-01-01,13:42:21,Cleared obstruction
E2233,Oil Leakage,Gear Box,2025-01-04,04:49:51,Replaced oil seal
E2234,Overload Detected,Motor Section,2025-01-03,19:29:31,Reduced machine load
E2235,Jammed Component,Conveyor Belt Section C,2025-01-02,16:33:40,Cleared obstruction
E2236,Overload Detected,Motor Section,2025-01-05,18:15:05,Reduced machine load
E2237,Voltage Fluctuation,Control Panel,2025-01-04,11:19:56,Stabilized power input
E2238,Oil Leakage,Gear Box,2025-01-02,16:09:08,Replaced oil seal
E2239,High Temperature,Cooling System,2025-01-03,09:53:35,Refilled coolant
E2240,Oil Leakage,Gear Box,2025-01-01,17:12:41,Replaced oil seal
E2241,Voltage Fluctuation,Control Panel,2025-01-03,21:21:03,Stabilized power input
E2242,Alignment Issue,Conveyor Belt Section A,2025-01-02,08:36:49,Re-aligned conveyor belt
E2243,Oil Leakage,Gear Box,2025-01-03,08:39:59,Replaced oil seal
E2244,Communication Error,PLC Controller,2025-01-03,11:59:57,"Reset PLC, updated firmware"
E2245,Alignment Issue,Conveyor Belt Section A,2025-01-02,18:01:24,Re-aligned conveyor belt
E2246,Jammed Component,Conveyor Belt Section C,2025-01-02,01:14:38,Cleared obstruction
E2247,Jammed Component,Conveyor Belt Section C,2025-01-02,13:03:44,Cleared obstruction
E2248,Jammed Component,Conveyor Belt Section C,2025-01-01,18:11:19,Cleared obstruction
E2249,Voltage Fluctuation,Control Panel,2025-01-05,04:42:51,Stabilized power input
E2250,Overload Detected,Motor Section,2025-01-02,15:58:18,Reduced machine load
E2251,Overload Detected,Motor Section,2025-01-02,22:11:39,Reduced machine load
E2252,Sensor Failure,Temperature Sensor T1,2025-01-01,14:22:15,Replaced faulty sensor
E2253,Overload Detected,Motor Section,2025-01-04,22:33:31,Reduced machine load
E2254,Low Pressure,Hydraulic Pump,2025-01-04,12:37:22,Adjusted pressure valve
E2255,Jammed Component,Conveyor Belt Section C,2025-01-04,15:57:27,Cleared obstruction
E2256,Jammed Component,Conveyor Belt Section C,2025-01-05,13:48:06,Cleared obstruction
E2257,Communication Error,PLC Controller,2025-01-04,17:58:13,"Reset PLC, updated firmware"
E2258,Alignment Issue,Conveyor Belt Section A,2025-01-04,01:07:27,Re-aligned conveyor belt
E2259,Communication Error,PLC Controller,2025-01-03,10:41:47,"Reset PLC, updated firmware"
E2260,Low Pressure,Hydraulic Pump,2025-01-03,10:07:08,Adjusted pressure valve
E2261,Jammed Component,Conveyor Belt Section C,2025-01-03,14:38:32,Cleared obstruction
E2262,Overload Detected,Motor Section,2025-01-02,09:51:39,Reduced machine load
E2263,Low Pressure,Hydraulic Pump,2025-01-02,08:29:09,Adjusted pressure valve
E2264,Alignment Issue,Conveyor Belt Section A,2025-01-04,22:17:03,Re-aligned conveyor belt
E2265,Jammed Component,Conveyor Belt Section C,2025-01-03,00:13:50,Cleared obstruction
E2266,Communication Error,PLC Controller,2025-01-04,22:46:44,"Reset PLC, updated firmware"
E2267,High Temperature,Cooling System,2025-01-02,01:03:50,Refilled coolant
E2268,Oil Leakage,Gear Box,2025-01-04,09:28:57,Replaced oil seal
E2269,Jammed Component,Conveyor Belt Section C,2025-01-02,05:26:42,Cleared obstruction
E2270,High Temperature,Cooling System,2025-01-04,14:43:58,Refilled coolant
E2271,High Temperature,Cooling System,2025-01-02,04:14:31,Refilled coolant
E2272,Oil Leakage,Gear Box,2025-01-05,12:08:35,Replaced oil seal
E2273,Voltage Fluctuation,Control Panel,2025-01-02,02:43:50,Stabilized power input
E2274,Low Pressure,Hydraulic Pump,2025-01-02,19:02:04,Adjusted pressure valve
E2275,High Temperature,Cooling System,2025-01-02,22:16:54,Refilled coolant
E2276,Oil Leakage,Gear Box,2025-01-03,16:58:19,Replaced oil seal
E2277,Communication Error,PLC Controller,2025-01-01,19:06:28,"Reset PLC, updated firmware"
E2278,Low Pressure,Hydraulic Pump,2025-01-04,09:49:24,Adjusted pressure valve
E2279,Jammed Component,Conveyor Belt Section C,2025-01-04,09:16:41,Cleared obstruction
E2280,Alignment Issue,Conveyor Belt Section A,2025-01-02,20:19:42,Re-aligned conveyor belt
E2281,Alignment Issue,Conveyor Belt Section A,2025-01-04,00:10:45,Re-aligned conveyor belt
E2282,Low Pressure,Hydraulic Pump,2025-01-03,15:24:02,Adjusted pressure valve
E2283,Overload Detected,Motor Section,2025-01-02,01:52:00,Reduced machine load
E2284,Oil Leakage,Gear Box,2025-01-03,18:12:01,Replaced oil seal
E2285,Alignment Issue,Conveyor Belt Section A,2025-01-05,21:46:30,Re-aligned conveyor belt
E2286,Alignment Issue,Conveyor Belt Section A,2025-01-03,14:49:39,Re-aligned conveyor belt
E2287,Alignment Issue,Conveyor Belt Section A,2025-01-04,19:20:08,Re-aligned conveyor belt
E2288,Oil Leakage,Gear Box,2025-01-02,17:10:24,Replaced oil seal
E2289,Communication Error,PLC Controller,2025-01-05,06:04:38,"Reset PLC, updated firmware"
E2290,Jammed Component,Conveyor Belt Section C,2025-01-01,10:49:26,Cleared obstruction
E2291,Communication Error,PLC Controller,2025-01-03,20:16:11,"Reset PLC, updated firmware"
E2292,Communication Error,PLC Controller,2025-01-03,10:57:49,"Reset PLC, updated firmware"
E2293,Oil Leakage,Gear Box,2025-01-04,12:12:36,Replaced oil seal
E2294,High Temperature,Cooling System,2025-01-01,12:20:08,Refilled coolant
E2295,Sensor Failure,Temperature Sensor T1,2025-01-02,01:20:25,Replaced faulty sensor
E2296,Sensor Failure,Temperature Sensor T1,2025-01-03,22:53:19,Replaced faulty sensor
E2297,Overload Detected,Motor Section,2025-01-05,02:07:42,Reduced machine load
E2298,Communication Error,PLC Controller,2025-01-04,23:32:46,"Reset PLC, updated firmware"
E2299,Alignment Issue,Conveyor Belt Section A,2025-01-05,01:30:04,Re-aligned conveyor belt
E2300,Low Pressure,Hydraulic Pump,2025-01-05,07:42:58,Adjusted pressure valve
E2301,Sensor Failure,Temperature Sensor T1,2025-01-03,07:25:49,Replaced faulty sensor
E2302,Oil Leakage,Gear Box,2025-01-05,04:36:28,Replaced oil seal
E2303,Oil Leakage,Gear Box,2025-01-01,09:31:21,Replaced oil seal
E2304,Low Pressure,Hydraulic Pump,2025-01-05,00:04:36,Adjusted pressure valve
E2305,Communication Error,PLC Controller,2025-01-01,16:31:08,"Reset PLC, updated firmware"
E2306,High Temperature,Cooling System,2025-01-05,12:59:31,Refilled coolant
E2307,Overload Detected,Motor Section,2025-01-01,10:28:17,Reduced machine load
E2308,Voltage Fluctuation,Control Panel,2025-01-02,00:02:14,Stabilized power input
E2309,Voltage Fluctuation,Control Panel,2025-01-03,14:34:50,Stabilized power input
E2310,Oil Leakage,Gear Box,2025-01-04,13:22:26,Replaced oil seal
E2311,Oil Leakage,Gear Box,2025-01-03,04:56:39,Replaced oil seal
E2312,Alignment Issue,Conveyor Belt Section A,2025-01-01,09:56:50,Re-aligned conveyor belt
E2313,Overload Detected,Motor Section,2025-01-04,14:11:23,Reduced machine load
E2314,Oil Leakage,Gear Box,2025-01-05,06:25:29,Replaced oil seal
E2315,Alignment Issue,Conveyor Belt Section A,2025-01-02,17:16:17,Re-aligned conveyor belt
E2316,Jammed Component,Conveyor Belt Section C,2025-01-05,16:48:09,Cleared obstruction
E2317,Alignment Issue,Conveyor Belt Section A,2025-01-04,16:06:05,Re-aligned conveyor belt
E2318,Voltage Fluctuation,Control Panel,2025-01-01,08:03:55,Stabilized power input
E2319,Alignment Issue,Conveyor Belt Section A,2025-01-03,06:36:57,Re-aligned conveyor belt
E2320,High Temperature,Cooling System,2025-01-03,23:20:39,Refilled coolant
